name,job,sex,personality
Chip,unknown,male,unknown
Mr. Bing,unknown,male,unknown
Lauren,unknown,female,unknown
Mrs. Chatracus,unknown,female,unknown
Woman On Train,unknown,female,unknown
Duncan,unknown,male,unknown
Monica and Rachel,chef and saler,female,scrupulous and lovely
Tommy,unknown,male,unknown
Stevens,unknown,male,unknown
Jay Leno,unknown,male,unknown
Mr. Posner,unknown,male,unknown
Santos,unknown,male,unknown
Rachel/actress,saler and actress,female,lovely
Richard,unknown,male,unknown
Joanne,unknown,female,unknown
Phoebe and Rachel,busker and saler,female,lovely and optimistic
The Guys,unknown,male,unknown
Dr. Harad,doctor,male,unknown
Lorraine,unknown,female,unknown
Alice,unknown,female,unknown
Earl,unknown,male,unknown
Professore Clerk,professore,male,unknown
Angela,unknown,female,unknown
Marjorie,unknown,female,unknown
Carol,unknown,male,unknown
Mona,unknown,female,unknown
Marc,unknown,male,unknown
Female Clerk,clerk,female,unknown
Mr. Treeger,unknown,male,unknown
Sick Bastard,unknown,male,unknown
Mr. Geller,unknown,male,unknown
Airline Employee,employee,male,unknown
Hope,unknown,female,unknown
Caitlin,unknown,female,unknown
Mike,unknown,male,unknown
Joshua,unknown,male,unknown
The Museum Official,unknown,unknown,unknown
Mr. Kaplan,unknown,male,unknown
Frannie,unknown,female,unknown
Gary Collins,unknown,male,unknown
Dr. Stryker Ramoray,doctor,male,unknown
Krista,unknown,female,unknown
Student,student,unknown,unknown
Customer,unknown,male,unknown
Hitchhiker,unknown,female,unknown
Fireman No. 2,fireman,male,unknown
Guest #1,unknown,male,unknown
The Instructor,unknown,male,unknown
The Fireman,fireman,male,unknown
Bobby,unknown,male,unknown
Katie,unknown,female,unknown
Vince,unknown,male,unknown
The Smoking Woman,unknown,female,unknown
Supervisor,supervisor,female,unknown
Rachel and Phoebe,saler and busker,female,optimistic and lovely
Steve,unknown,male,unknown
Mr. Tribbiani,unknown,male,unknown
Melissa,unknown,female,unknown
Jen,unknown,female,unknown
Nancy,unknown,female,unknown
Allesandro,unknown,male,unknown
Flight Attendant,flight attendant,female,unknown
Wayne,unknown,male,unknown
Waiter,waiter,male,unknown
Raymond,unknown,male,unknown
Mr. Franklin,unknown,male,unknown
Monica and Ross,chef and professor,female and male,scrupulous and nerdy
The Stripper,stripper,female,unknown
Mona's Date,unknown,male,unknown
Jade,unknown,male,unknown
Burt,unknown,male,unknown
Dr. Franzblau,doctor,male,unknown
Stranger,unknown,male,unknown
The Librarian,librarian,male,unknown
Isabella,unknown,female,unknown
The Dry Cleaner,dry cleaner,male,unknown
The Presenter,presenter,female,unknown
Mischa,unknown,male,unknown
Friend No. 1,unknown,female,unknown
The Grip,unknown,male,unknown
Annabelle,unknown,female,unknown
Ross,professor,male ,nerdy
PBS Volunteer,unknown,male,unknown
Julie,unknown,female,unknown
Kristin,unknown,female,unknown
Dr. Long,doctor,female,unknown
Shelley,unknown,female,unknown
Ross and Rachel,professor and saler,male and female,nerdy and lovely
Mrs. Tribbiani,unknown,female,unknown
Paul,unknown,male,unknown
Voice,unknown,unknown,unknown
Janitor,janitor,male,unknown
Phoebe,busker,female,optimistic
Cookie,unknown,female,unknown
Mrs. Tedlock,unknown,female,unknown
The Casting Director,casting director,female,unknown
Rachel and Bonnie,saler,female,lovely
Doug,unknown,male,unknown
Ticket Counter Attendant,ticket counter attendant,female,unknown
Ginger,unknown,female,unknown
Receptionist,receptionist,female,unknown
Kathy,unknown,female,unknown
Gunther,manager,male,unknown
Ben,unknown,male,unknown
Cassie,unknown,female,unknown
Dina,unknown,female,unknown
Mindy,unknown,female,unknown
Stage Director,stage director,female,unknown
Alan,unknown,male,unknown
Max,unknown,male,unknown
Dr. Ledbetter,doctor,male,unknown
The Security Guard,security guard,male,unknown
The Acting Teacher,acting teacher,male,unknown
Girl,unknown,female,unknown
Bonnie,unknown,female,unknown
TV Announcer,tv announcer,unknown,unknown
Carl,unknown,male,unknown
an,unknown,female,unknown
Frank,unknown,male,unknown
The Hot Girl,unknown,female,unknown
Mrs. Lynch,unknown,female,unknown
Dr. Zane,doctor,female,unknown
Petrie,unknown,male,unknown
The Woman,unknown,female,unknown
Older Scientist,scientist,male,unknown
Fireman No. 3,fireman,male,unknown
Jane,unknown,female,unknown
Dr. Green,doctor,male,unknown
Estelle,unknown,female,unknown
Host,host,male,unknown
David,unknown,male,unknown
Paleontologist,paleontologist,male,unknown
A Female Student,student,female,unknown
Dr. Rhodes,doctor,male,unknown
Emily,unknown,female,unknown
Lecturer,lecturer,unknown,unknown
Mr. Zelner,unknown,male,unknown
Young Ethan,unknown,male,unknown
All,unknown,male and female,unknown
Rachel,saler,female,lovely
Doctor,doctor,male,unknown
Drew,unknown,female,unknown
Megan,unknown,female,unknown
Kate,unknown,female,unknown
Mrs. Waltham,unknown,female,unknown
Julio,unknown,male,unknown
The Potential Roommate,unknown,female,unknown
Dana,unknown,female,unknown
The Cooking Teacher,cooking teacher,female,unknown
2nd Customer,unknown,male,unknown
Boy in the Cape,unknown,male,unknown
Janice,unknown,female,unknown
Eric,unknown,male,unknown
Pete,unknown,male,unknown
Man,unknown,male,unknown
Cecilia,unknown,female,unknown
Mrs. Geller,unknown,female,unknown
Sarah,unknown,female,unknown
Phoebe Sr,busker,female,optimistic
Director,director,male,unknown
Stephanie,unknown,female,unknown
Lydia,unknown,female,unknown
Sophie,unknown,female,unknown
The Fan,unknown,male,unknown
1st Customer,unknown,male,unknown
Chandler,clerk,male,humorous
Ronni,unknown,female,unknown
The Food Critic,food critic,male,unknown
Nurse,nurse,female,unknown
The Director,director,male,unknown
Stanley,unknown,male,unknown
Robbie,unknown,male,unknown
Kim,unknown,female,unknown
Stage Manager,stage manager,female,unknown
Tag,unknown,male,unknown
Monica,chef,female,scrupulous
Bob,unknown,male,unknown
Doctor Connelly,doctor,male,unknown
Erin,unknown,female,unknown
Issac,unknown,male,unknown
Liam,unknown,male,unknown
Paula,unknown,female,unknown
Terry,unknown,male,unknown
Dr. Baldhara,doctor,male,unknown
Mark,unknown,male,unknown
The Singing Man,unknown,male,unknown
Passerby,unknown,male,unknown
Guy,unknown,male,unknown
Singer,singer,female,unknown
Maitre d',maitre d',male,unknown
Bernice,unknown,female,unknown
Chloe,unknown,female,unknown
Phoebe and Leslie,busker,female,optimistic
Barry,unknown,male,unknown
Brenda,unknown,female,unknown
Sergei,unknown,male,unknown
Drunken Gambler,unknown,male,unknown
Tour Guide,tour guide,female,unknown
Monica and Phoebe,chef and busker,female,scrupulous and optimistic
Paolo,unknown,male,unknown
Joey and Ross,actor and professor,male,casual and nerdy
Casey,unknown,female,unknown
Joey and Chandler,actor and clerk,male,casual and humorous
Ross and Joey,professor and actor,male,nerdy and casual
The Vendor,vendor,male,unknown
The Interviewer,interviewer,female,unknown
3rd Customer,unknown,male,unknown
A Student,student,male,unknown
Guy #1,unknown,male,unknown
The Conductor,conductor,male,unknown
Stu,student,male,unknown
Cliff,unknown,male,unknown
Charlton Heston,unknown,male,unknown
Emeril,unknown,male,unknown
The Assistant Director,assistant director,male,unknown
Trudie Styler,unknown,female,unknown
Robert,unknown,male,unknown
The Cigarette Guy,unknown,male,unknown
Jason,unknown,male,unknown
Dr. Oberman,doctor,male,unknown
Jeannine,unknown,female,unknown
The Croupier,croupier,male,unknown
Peter,unknown,male,unknown
Jim,unknown,male,unknown
Aunt Lillian,unknown,female,unknown
Phoebe/Waitress,busker and waitress,female,optimistic and unknown
The Head Librarian,head librarian,male,unknown
Charlie,unknown,male,unknown
Jill,unknown,female,unknown
Dr. Wesley,doctor,male,unknown
Mr. Burgin,unknown,male,unknown
